,champion,sum_total,win_total,lose_total,winrate_total,sum_blue_side,win_blue_side,lose_blue_side,winrate_blue_side,sum_red_side,win_red_side,lose_red_side,winrate_red_side,matches_less_25_min,win_lose_less_25_min,winrate_less_25_min,matches_25_to_30_min,win_lose_25_to_30_min,winrate_25_30_min,matches_30_35_min,win_lose_30_35_min,winrate_30_35_min,matches_35_40_min,win_lose_35_40_min,winrate_35_40_min,matches_40_45_min,win_lose_40_45_min,winrate_40_45_min,matches_more_45_min,win_lose_more_45_min,winrate_more_45_min
17,Rek'Sai,22,11,11,50%,14,6,8,43%,8,5,3,63%,1,Jan-00,100%,3,0-3,0%,11,4-Jul,64%,5,2-Mar,60%,2,0-2,0%,0,0-0,0%
18,LeBlanc,21,11,10,52%,6,2,4,33%,15,9,6,60%,2,0-2,0%,4,3-Jan,25%,9,3-Jun,67%,2,1-Jan,50%,4,1-Mar,75%,0,0-0,0%
19,Leona,20,13,7,65%,7,3,4,43%,13,10,3,77%,0,0-0,0%,4,Apr-00,100%,9,4-May,56%,3,1-Feb,67%,3,2-Jan,33%,1,Jan-00,100%
20,Jayce,19,8,11,42%,8,4,4,50%,11,4,7,36%,1,0-1,0%,6,4-Feb,33%,8,4-Apr,50%,3,1-Feb,67%,1,0-1,0%,0,0-0,0%
21,Gnar,18,11,7,61%,8,7,1,88%,10,4,6,40%,1,Jan-00,100%,4,2-Feb,50%,6,3-Mar,50%,4,Apr-00,100%,2,1-Jan,50%,1,0-1,0%
22,Tristana,18,8,10,44%,8,3,5,38%,10,5,5,50%,1,0-1,0%,3,2-Jan,33%,4,3-Jan,25%,7,2-May,71%,2,1-Jan,50%,1,0-1,0%
23,Jarvan IV,18,7,11,39%,9,3,6,33%,9,4,5,44%,1,0-1,0%,4,2-Feb,50%,5,3-Feb,40%,7,5-Feb,29%,1,Jan-00,100%,0,0-0,0%
24,Vladimir,17,9,8,53%,9,5,4,56%,8,4,4,50%,2,Feb-00,100%,4,3-Jan,25%,7,2-May,71%,2,0-2,0%,2,1-Jan,50%,0,0-0,0%
25,Lucian,16,5,11,31%,11,4,7,36%,5,1,4,20%,0,0-0,0%,8,6-Feb,25%,2,1-Jan,50%,5,4-Jan,20%,1,Jan-00,100%,0,0-0,0%
26,Yasuo,15,10,5,67%,9,5,4,56%,6,5,1,83%,1,0-1,0%,5,2-Mar,60%,6,2-Apr,67%,2,Feb-00,100%,1,Jan-00,100%,0,0-0,0%
